IP地址,端口,TLS,数据中心,地区,城市,网络延迟
92.223.116.223,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.203,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.221,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.220,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.205,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.207,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.253,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.222,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.254,443,true,SIN,Asia Pacific,Singapore,1 ms
92.223.116.224,443,true,SIN,Asia Pacific,Singapore,1 ms
5.252.26.62,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.11,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.7,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.4,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.10,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.6,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.61,443,true,SIN,Asia Pacific,Singapore,26 ms
5.252.26.5,443,true,SIN,Asia Pacific,Singapore,26 ms
92.223.76.24,443,true,HKG,Asia Pacific,Hong Kong,34 ms
92.223.76.23,443,true,HKG,Asia Pacific,Hong Kong,37 ms
92.223.76.25,443,true,HKG,Asia Pacific,Hong Kong,38 ms
171.234.242.197,443,true,HKG,Asia Pacific,Hong Kong,38 ms
120.28.10.46,443,true,MNL,Asia Pacific,Manila,39 ms
171.229.196.136,443,true,SIN,Asia Pacific,Singapore,40 ms
171.229.196.135,443,true,SIN,Asia Pacific,Singapore,41 ms
92.223.76.20,443,true,HKG,Asia Pacific,Hong Kong,42 ms
92.223.76.30,443,true,HKG,Asia Pacific,Hong Kong,45 ms
171.229.196.137,443,true,SIN,Asia Pacific,Singapore,45 ms
171.234.242.195,443,true,HKG,Asia Pacific,Hong Kong,46 ms
171.229.196.134,443,true,SIN,Asia Pacific,Singapore,47 ms
171.229.196.132,443,true,SIN,Asia Pacific,Singapore,47 ms
171.229.196.133,443,true,SIN,Asia Pacific,Singapore,47 ms
43.245.140.2,443,true,DAC,Asia Pacific,Dhaka,49 ms
171.229.196.138,443,true,SIN,Asia Pacific,Singapore,52 ms
185.105.1.14,443,true,BOM,Asia Pacific,Mumbai,57 ms
171.234.242.199,443,true,HKG,Asia Pacific,Hong Kong,58 ms
171.234.242.198,443,true,HKG,Asia Pacific,Hong Kong,65 ms
92.223.63.24,443,true,NRT,Asia Pacific,Tokyo,65 ms
92.223.63.22,443,true,NRT,Asia Pacific,Tokyo,69 ms
92.223.63.5,443,true,NRT,Asia Pacific,Tokyo,70 ms
5.252.26.8,443,true,SIN,Asia Pacific,Singapore,71 ms
31.184.207.62,443,true,KIX,Asia Pacific,Osaka,72 ms
92.223.63.9,443,true,NRT,Asia Pacific,Tokyo,73 ms
92.223.63.25,443,true,NRT,Asia Pacific,Tokyo,73 ms
92.223.63.6,443,true,NRT,Asia Pacific,Tokyo,73 ms
92.223.63.23,443,true,NRT,Asia Pacific,Tokyo,74 ms
89.223.90.4,443,true,CDG,Europe,Paris,74 ms
92.223.63.29,443,true,NRT,Asia Pacific,Tokyo,75 ms
92.223.63.7,443,true,NRT,Asia Pacific,Tokyo,76 ms
92.223.63.10,443,true,NRT,Asia Pacific,Tokyo,76 ms
118.103.136.245,443,true,SIN,Asia Pacific,Singapore,76 ms
92.223.63.26,443,true,NRT,Asia Pacific,Tokyo,76 ms
31.184.207.6,443,true,KIX,Asia Pacific,Osaka,76 ms
92.223.63.27,443,true,NRT,Asia Pacific,Tokyo,79 ms
31.184.207.7,443,true,KIX,Asia Pacific,Osaka,79 ms
92.223.63.28,443,true,NRT,Asia Pacific,Tokyo,79 ms
31.184.207.5,443,true,KIX,Asia Pacific,Osaka,81 ms
180.149.90.66,443,true,ULN,Asia Pacific,Ulaanbaatar,82 ms
31.184.207.8,443,true,KIX,Asia Pacific,Osaka,82 ms
92.223.61.21,443,true,ICN,Asia Pacific,Seoul,82 ms
31.184.207.4,443,true,KIX,Asia Pacific,Osaka,82 ms
103.211.151.21,443,true,KTM,Asia Pacific,Kathmandu,82 ms
92.223.63.11,443,true,NRT,Asia Pacific,Tokyo,82 ms
92.223.63.8,443,true,NRT,Asia Pacific,Tokyo,83 ms
92.223.63.4,443,true,NRT,Asia Pacific,Tokyo,84 ms
92.223.61.30,443,true,ICN,Asia Pacific,Seoul,85 ms
82.148.98.42,443,true,DOH,Middle East,Doha,86 ms
92.223.61.25,443,true,ICN,Asia Pacific,Seoul,87 ms
92.223.61.24,443,true,ICN,Asia Pacific,Seoul,88 ms
92.223.78.23,443,true,SYD,Oceania,Sydney,92 ms
92.223.78.30,443,true,SYD,Oceania,Sydney,92 ms
92.223.78.22,443,true,SYD,Oceania,Sydney,92 ms
185.163.3.62,443,true,RUH,Middle East,Riyadh,93 ms
185.163.3.4,443,true,HKG,Asia Pacific,Hong Kong,93 ms
92.223.61.23,443,true,ICN,Asia Pacific,Seoul,95 ms
185.163.3.61,443,true,RUH,Middle East,Riyadh,95 ms
185.105.1.10,443,true,BOM,Asia Pacific,Mumbai,97 ms
92.223.63.21,443,true,NRT,Asia Pacific,Tokyo,99 ms
62.209.27.232,443,true,RUH,Middle East,Riyadh,111 ms
94.128.12.238,443,true,KWI,Middle East,Kuwait City,124 ms
5.188.132.5,443,true,HKG,Asia Pacific,Hong Kong,126 ms
5.188.132.14,443,true,HKG,Asia Pacific,Hong Kong,127 ms
92.223.55.62,443,true,MRS,Europe,Marseille,137 ms
92.223.55.5,443,true,MRS,Europe,Marseille,140 ms
92.223.55.4,443,true,MRS,Europe,Marseille,142 ms
92.223.124.36,443,true,FRA,Europe,Frankfurt,148 ms
92.223.124.25,443,true,FRA,Europe,Frankfurt,148 ms
92.223.124.43,443,true,DME,Europe,Moscow,148 ms
92.223.124.29,443,true,FRA,Europe,Frankfurt,150 ms
92.223.124.61,443,true,FRA,Europe,Frankfurt,151 ms
92.223.124.44,443,true,FRA,Europe,Frankfurt,151 ms
92.223.124.49,443,true,FRA,Europe,Frankfurt,151 ms
92.223.124.24,443,true,FRA,Europe,Frankfurt,151 ms
92.223.124.37,443,true,DME,Europe,Moscow,151 ms
92.223.124.17,443,true,DME,Europe,Moscow,151 ms
92.223.124.22,443,true,FRA,Europe,Frankfurt,151 ms
92.223.124.26,443,true,DME,Europe,Moscow,152 ms
92.223.124.31,443,true,FRA,Europe,Frankfurt,152 ms
92.223.112.28,443,true,LUX,Europe,Luxembourg City,152 ms
92.223.124.15,443,true,FRA,Europe,Frankfurt,152 ms
92.223.124.35,443,true,FRA,Europe,Frankfurt,152 ms
92.223.124.48,443,true,FRA,Europe,Frankfurt,152 ms
93.123.17.138,443,true,AMS,Europe,Amsterdam,153 ms
92.223.124.23,443,true,FRA,Europe,Frankfurt,153 ms
93.123.17.139,443,true,AMS,Europe,Amsterdam,154 ms
92.223.124.62,443,true,FRA,Europe,Frankfurt,154 ms
93.123.17.136,443,true,AMS,Europe,Amsterdam,154 ms
93.123.17.148,443,true,AMS,Europe,Amsterdam,154 ms
92.223.112.62,443,true,LUX,Europe,Luxembourg City,155 ms
92.223.112.12,443,true,LUX,Europe,Luxembourg City,155 ms
93.123.17.151,443,true,AMS,Europe,Amsterdam,155 ms
92.223.124.16,443,true,FRA,Europe,Frankfurt,156 ms
93.123.17.145,443,true,AMS,Europe,Amsterdam,157 ms
92.223.124.34,443,true,FRA,Europe,Frankfurt,157 ms
93.123.17.133,443,true,AMS,Europe,Amsterdam,157 ms
93.123.17.253,443,true,AMS,Europe,Amsterdam,157 ms
92.223.124.33,443,true,FRA,Europe,Frankfurt,157 ms
93.123.17.254,443,true,AMS,Europe,Amsterdam,158 ms
93.123.17.147,443,true,AMS,Europe,Amsterdam,159 ms
93.123.17.159,443,true,AMS,Europe,Amsterdam,159 ms
93.123.17.137,443,true,AMS,Europe,Amsterdam,160 ms
93.123.17.143,443,true,AMS,Europe,Amsterdam,160 ms
93.123.17.146,443,true,AMS,Europe,Amsterdam,160 ms
93.123.17.132,443,true,AMS,Europe,Amsterdam,160 ms
93.123.17.141,443,true,AMS,Europe,Amsterdam,161 ms
93.123.17.150,443,true,FRA,Europe,Frankfurt,161 ms
93.123.11.14,443,true,LHR,Europe,London,161 ms
93.123.11.12,443,true,LHR,Europe,London,163 ms
92.223.92.22,443,true,WAW,Europe,Warsaw,164 ms
92.223.92.23,443,true,WAW,Europe,Warsaw,164 ms
92.223.92.30,443,true,WAW,Europe,Warsaw,164 ms
92.223.92.26,443,true,WAW,Europe,Warsaw,165 ms
